Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,1167,combinatoric,RandomForestImputer_RobustScaler,0.2260781669343571,0.2918380110588308,[0.57453211 0.57453211 0.57453211 ... 0.68779713 0.69512227 0.69512227],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
0,1202,combinatoric,RandomForestImputer_RobustScaler,0.1587966934997431,0.2133911367001395,[0.80167541 0.80167541 0.82324197 ... 0.80376261 0.79738302 0.79738302],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
0,1218,combinatoric,RandomForestImputer_RobustScaler,0.1371915389917612,0.2049423624690607,[0.662665   0.6626735  0.66235518 ... 0.68009628 0.67953559 0.67953559],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
0,1219,combinatoric,RandomForestImputer_RobustScaler,0.1277012739829448,0.1934402383887985,[0.53991889 0.53991889 0.53991889 ... 0.61015246 0.6121491  0.6121491 ],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
0,1234,combinatoric,RandomForestImputer_RobustScaler,0.255205569319964,0.3692923761221448,[0.71801331 0.71492848 0.71801331 ... 0.47546013 0.48595583 0.48595583],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
0,1273,combinatoric,RandomForestImputer_RobustScaler,0.1408351803586825,0.2072539945791457,[0.6432426  0.6432426  0.6432426  ... 0.62052186 0.62079125 0.62161292],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
0,1298,combinatoric,RandomForestImputer_RobustScaler,0.1330508979559751,0.1824651512190103,[0.58281318 0.58281318 0.58281318 ... 0.51362852 0.51698534 0.51698534],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
0,1339,combinatoric,RandomForestImputer_RobustScaler,0.2161868707192149,0.2881977297340498,[0.89629133 0.89629133 0.90001638 ... 0.57944607 0.57417938 0.57417938],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
0,11285,combinatoric,RandomForestImputer_RobustScaler,0.1091511940015452,0.1376298711903686,[0.62715425 0.62715425 0.62715425 ... 0.76570866 0.76899914 0.76899914],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
0,11457,combinatoric,RandomForestImputer_RobustScaler,0.1185573460807799,0.1619573494764644,[0.84393889 0.84031457 0.84393889 ... 0.83488548 0.83566062 0.83566062],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
0,12001,combinatoric,RandomForestImputer_RobustScaler,0.1442509630372466,0.2073334950050934,[0.65954271 0.65954271 0.66289464 ... 0.8739349  0.87674706 0.87674706],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
