,Unnamed: 0,Evaluation,Method,Model,MAE,RMSE,Y_hat,Y_true,n_samples
0,0,1167,combinatoric,LGBMRegressor,0.2170967657514621,0.2841574745010977,[0.50605253 0.50605253 0.50035745 ... 0.59114954 0.61778873 0.61778873],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",5112
1,0,1202,combinatoric,LGBMRegressor,0.1570311051806766,0.2110608431771857,[0.75891709 0.75891709 0.75891709 ... 0.68965022 0.66349499 0.66349499],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",5112
2,0,1218,combinatoric,LGBMRegressor,0.1344324710428198,0.1900152251016146,[0.77292578 0.77292578 0.77292578 ... 0.62188865 0.62144733 0.62369657],"[[0.71403127]
 [0.40903003]
 [0.71403127]
 ...
 [0.74007091]
 [0.55605146]
 [0.68774913]]",5112
3,0,1219,combinatoric,LGBMRegressor,0.1287039014282061,0.1963772558494916,[0.49651012 0.49651012 0.49651012 ... 0.66367878 0.68098113 0.68098113],"[[0.56188405]
 [0.21703461]
 [0.56188405]
 ...
 [0.57982691]
 [0.57500456]
 [0.43863302]]",5112
4,0,1234,combinatoric,LGBMRegressor,0.239840535002197,0.3437464193023785,[0.78148303 0.78148303 0.78148303 ... 0.50915066 0.52360103 0.51044944],"[[0.56621503]
 [0.69992615]
 [0.56621503]
 ...
 [0.57845471]
 [0.72096599]
 [0.72096599]]",5112
5,0,1273,combinatoric,LGBMRegressor,0.1326180218281927,0.2000671205409207,[0.64532293 0.64675695 0.66318766 ... 0.58169793 0.56777766 0.56777766],"[[0.58027284]
 [0.62997734]
 [0.62997734]
 ...
 [0.99994395]
 [1.        ]
 [1.        ]]",5112
6,0,1298,combinatoric,LGBMRegressor,0.132354120334467,0.177381735892623,[0.58244266 0.58244266 0.58244266 ... 0.55041763 0.54107213 0.54107213],"[[0.36149194]
 [0.43979194]
 [0.43979194]
 ...
 [0.43881792]
 [0.43881792]
 [0.4706547 ]]",5112
7,0,1339,combinatoric,LGBMRegressor,0.1906924922183555,0.2516517983155036,[0.78745937 0.77359356 0.78599572 ... 0.61151772 0.62242346 0.62242346],"[[0.58048175]
 [0.58666233]
 [0.58048175]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",5112
8,0,11285,combinatoric,LGBMRegressor,0.0993908634100197,0.1235802201557105,[0.79322452 0.79551798 0.82957601 ... 0.81168371 0.8322768  0.82058189],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.99529203]
 [0.99529203]
 [0.99529203]]",7668
9,0,11457,combinatoric,LGBMRegressor,0.0933646474050647,0.1236013134038688,[0.89919169 0.89919169 0.89919169 ... 0.79243488 0.80591944 0.80591944],"[[0.78374516]
 [0.78374516]
 [0.78374516]
 ...
 [0.99892703]
 [0.99707015]
 [0.99892703]]",8094
10,0,12001,combinatoric,LGBMRegressor,0.1137209344645538,0.1560289347294493,[0.80829925 0.79983461 0.80326894 ... 0.90540988 0.90763467 0.90763467],"[[0.79475732]
 [0.79475732]
 [0.79475732]
 ...
 [0.89610277]
 [0.94533914]
 [0.94533914]]",8094
11,0,12048,combinatoric,LGBMRegressor,0.1004659357657354,0.1318784117014619,[0.74443846 0.72325182 0.75098319 ... 0.78555204 0.80390947 0.80027971],"[[0.99176781]
 [0.99176781]
 [0.98205471]
 ...
 [0.99956886]
 [0.99956886]
 [0.99956886]]",7668
0,0,12701,combinatoric,LGBMRegressor,0.1780569042168799,0.250055466052559,[0.74739477 0.73900677 0.75440287 ... 0.86973045 0.88653247 0.87464447],"[[0.7171057 ]
 [0.7171057 ]
 [0.7171057 ]
 ...
 [0.51653222]
 [0.52714431]
 [0.51653222]]",7668
1,0,12832,combinatoric,LGBMRegressor,0.1179338981344902,0.1701894813676686,[0.83741134 0.83762284 0.83741134 ... 0.83243869 0.84747606 0.84814378],"[[0.58272752]
 [0.67187312]
 [0.7222509 ]
 ...
 [0.66850347]
 [0.88247085]
 [0.66850347]]",7668
2,0,B1,combinatoric,LGBMRegressor,0.1078199579370635,0.152614496108641,[0.80718429 0.80718429 0.80718429 ... 0.89849945 0.8807211  0.8807211 ],"[[0.42509385]
 [0.42509385]
 [0.66837588]
 ...
 [0.64199834]
 [0.64199834]
 [0.64199834]]",6816
3,0,B8,combinatoric,LGBMRegressor,0.1513639303693664,0.2062425004326963,[0.68489309 0.68738961 0.6847148  ... 0.67267657 0.69884801 0.69884801],"[[0.98038748]
 [0.95596408]
 [0.98038748]
 ...
 [0.99977629]
 [0.99974418]
 [0.99977629]]",6816
4,0,B18,combinatoric,LGBMRegressor,0.1508259760361593,0.2123277794277522,[0.61740798 0.62013293 0.61925416 ... 0.63140963 0.66196242 0.66196242],"[[0.65450303]
 [0.65450303]
 [0.65450303]
 ...
 [0.47260031]
 [0.58194566]
 [0.58194566]]",6816
5,0,C5,combinatoric,LGBMRegressor,0.1147543266411904,0.1553469975426594,[0.65700032 0.65700032 0.65700032 ... 0.75491505 0.73493014 0.73493014],"[[0.61741846]
 [0.51342435]
 [0.64749359]
 ...
 [0.64398475]
 [0.4335643 ]
 [0.64398475]]",6816
6,0,E.ce,combinatoric,LGBMRegressor,0.101679178036636,0.142341722927368,[0.9408634  0.9408634  0.9408634  ... 0.52074536 0.52074536 0.52074536],"[[0.98451715]
 [0.98451715]
 [0.91348945]
 ...
 [0.22604631]
 [0.26073352]
 [0.22604631]]",29160
7,0,E.co,combinatoric,LGBMRegressor,0.1832544259203337,0.2483881251286927,[0.95519462 0.9476065  0.95519462 ... 0.57032847 0.57032847 0.57032847],"[[0.32310936]
 [0.40226433]
 [0.32310936]
 ...
 [0.11560503]
 [0.17233788]
 [0.17233788]]",29160
8,0,S.en,combinatoric,LGBMRegressor,0.1821952507400329,0.2409499465250384,[0.43948789 0.43948789 0.43948789 ... 0.30261064 0.30261064 0.30261064],"[[0.29211455]
 [0.30351804]
 [0.30351804]
 ...
 [0.20434278]
 [0.20434278]
 [0.20434278]]",29160
9,0,S.au,combinatoric,LGBMRegressor,0.1203597983097505,0.1632714159281279,[0.97837679 0.97761892 0.98242971 ... 0.44124736 0.48060337 0.48060337],"[[0.84723405]
 [0.84723405]
 [0.84723405]
 ...
 [0.37047272]
 [0.37047272]
 [0.40574128]]",27540
10,0,1167_x_E.ce,combinatoric,LGBMRegressor,0.1508520750521743,0.1932428083327955,[0.55582665 0.55582665 0.55582665 ... 0.851619   0.851619   0.851619  ],"[[0.72831622]
 [0.71985186]
 [0.47114438]
 ...
 [0.93997339]
 [0.93346047]
 [0.93346047]]",1296
11,0,1167_x_E.co,combinatoric,LGBMRegressor,0.2393150909894257,0.2911947240994134,[0.66104922 0.66104922 0.66104922 ... 0.57210063 0.57210063 0.57210063],"[[0.29228146]
 [0.29614315]
 [0.29228146]
 ...
 [0.99785545]
 [0.98518001]
 [0.98871093]]",1296
0,0,1167_x_S.en,combinatoric,LGBMRegressor,0.2555581914707423,0.3428602067209398,[0.41720505 0.41720505 0.41720505 ... 0.41541374 0.41541374 0.41541374],"[[0.72965397]
 [0.53297676]
 [0.72965397]
 ...
 [0.99904466]
 [0.99774927]
 [1.        ]]",1296
1,0,1167_x_S.au,combinatoric,LGBMRegressor,0.1721408039531675,0.2176887070324122,[0.94770379 0.958911   0.94948054 ... 0.4682391  0.49332532 0.49332532],"[[0.93482886]
 [0.83673575]
 [0.6058648 ]
 ...
 [0.45989622]
 [0.43331883]
 [0.50304679]]",1224
2,0,1202_x_E.ce,combinatoric,LGBMRegressor,0.127687503954674,0.1916247400778016,[0.56175284 0.56175284 0.56175284 ... 0.64597779 0.64597779 0.64597779],"[[0.59650097]
 [0.6126219 ]
 [0.59650097]
 ...
 [0.62507124]
 [0.62507124]
 [0.71542897]]",1296
3,0,1202_x_E.co,combinatoric,LGBMRegressor,0.1978214081498037,0.2431626618479596,[0.71987429 0.71987429 0.71987429 ... 0.79098782 0.79098782 0.79098782],"[[0.43239395]
 [0.43239395]
 [0.43239395]
 ...
 [0.39794357]
 [0.48052866]
 [0.38356225]]",1296
4,0,1202_x_S.en,combinatoric,LGBMRegressor,0.285668312739728,0.3502210491281057,[0.37427071 0.37427071 0.37427071 ... 0.62076831 0.62076831 0.62076831],"[[0.30539326]
 [0.36968642]
 [0.06283783]
 ...
 [0.34203753]
 [0.77984246]
 [0.24694186]]",1296
5,0,1202_x_S.au,combinatoric,LGBMRegressor,0.1620706183771192,0.1937229418263712,[0.91358478 0.92933841 0.92682292 ... 0.60627267 0.5930366  0.5930366 ],"[[0.64477475]
 [0.64477475]
 [0.83061693]
 ...
 [0.57514431]
 [0.57514431]
 [0.57514431]]",1224
